Ano;Mes;turistas (miles)
2019;enero;20
2019;febrero;23
2019;marzo;26
2019;abril;25
2019;mayo;23
2019;junio;24
2019;julio;27
2019;agosto;25
2019;septiembre;19
2019;octubre;18
2019;noviembre ;20
2019;diciembre;22
2020;enero;22
2020;febrero;24
2020;marzo;11
2020;abril;0
2020;mayo;0
2020;junio;0
2020;julio;0
2020;agosto;0
2020;septiembre;1
2020;octubre;3
2020;noviembre ;4
2020;diciembre;6
2021;enero;4
2021;febrero;5
2021;marzo;7
2021;abril;7
2021;mayo;7
2021;junio;9
2021;julio;13
2021;agosto;17
2021;septiembre;14
2021;octubre;18
2021;noviembre ;17
2021;diciembre;18
2022;enero;15
2022;febrero;19
2022;marzo;25
2022;abril;26
2022;mayo;23
2022;junio;22
2022;julio;27
2022;agosto;28
2022;septiembre;20
2022;octubre;19
2022;noviembre ;21
2022;diciembre;23
